time,M1_failure,M2_failure,M3_failure,M4_failure
3600,1,0,0,1
7200,1,1,0,1
10800,1,1,0,1
14400,1,1,1,1
18000,1,1,1,1
21600,1,1,1,1
25200,1,1,1,1
28800,1,1,1,0
32400,1,1,1,0
36000,1,1,0,1
39600,1,1,0,1
43200,0,1,1,1
46800,0,1,1,1
50400,0,0,1,0
54000,0,0,1,0
57600,0,0,1,0
61200,0,0,1,1
64800,0,0,1,1
68400,0,0,0,1
72000,0,0,0,1
75600,0,0,0,1
79200,0,1,0,1
82800,0,1,1,1
86400,0,1,0,1
90000,0,1,1,1
93600,1,0,1,1
97200,1,0,1,0
100800,1,1,0,0
104400,1,1,0,1
108000,0,1,0,1
111600,1,0,1,1
115200,1,0,1,1
118800,1,0,1,1
122400,1,0,1,1
126000,0,1,0,1
129600,0,1,1,0
133200,1,1,1,1
136800,1,1,1,1
140400,1,1,1,0
144000,1,1,1,0
147600,1,0,1,0
151200,1,0,1,1
154800,1,1,1,1
158400,1,1,1,1
162000,1,1,1,0
165600,1,1,0,1
169200,1,1,0,1
172800,0,1,0,0
176400,0,0,1,0
180000,0,1,1,0
183600,0,1,1,1
187200,0,0,0,0
190800,0,0,1,1
194400,0,0,1,0
198000,0,0,1,1
201600,0,0,1,1
205200,0,0,1,0
208800,0,0,0,0
212400,0,0,0,0
216000,0,0,0,0
219600,0,1,1,0
223200,0,1,0,1
226800,0,1,0,1
230400,0,0,0,1
234000,0,1,1,1
237600,0,1,1,1
241200,0,0,1,1
244800,0,0,0,0
248400,0,1,0,0
252000,0,0,0,0
255600,1,0,0,1
259200,1,0,0,1
262800,1,1,0,1
266400,1,1,0,1
270000,0,1,1,0
273600,0,1,1,0
277200,0,1,0,1
280800,1,1,0,1
284400,1,0,1,1
288000,1,1,1,1
291600,1,1,1,1
295200,0,1,1,1
298800,1,1,1,1
302400,1,0,1,1
306000,1,0,0,1
309600,1,1,1,1
313200,1,1,1,1
316800,0,1,1,1
320400,0,0,1,1
324000,0,1,1,1
327600,1,1,1,1
331200,0,1,1,1
334800,0,0,1,0
338400,1,0,0,0
342000,1,1,0,0
345600,1,0,0,0
349200,0,0,1,0
352800,0,0,1,0
356400,1,0,1,0
360000,1,0,1,0
363600,1,1,1,0
367200,0,1,1,0
370800,0,1,1,0
374400,1,1,1,0
378000,0,1,1,0
381600,0,0,0,0
385200,0,0,1,0
388800,0,1,1,0
392400,1,0,1,1
396000,1,1,1,1
399600,1,1,1,0
403200,1,1,0,0
406800,0,1,0,0
410400,0,0,0,0
414000,1,0,0,0
417600,1,0,0,0
421200,1,0,0,0
424800,1,1,0,0
428400,0,0,0,0
432000,0,1,0,0
435600,0,1,0,0
439200,0,1,0,0
442800,1,0,0,1
446400,1,1,0,1
450000,0,1,0,1
453600,1,0,0,0
457200,1,0,0,0
460800,1,1,0,0
464400,1,1,0,1
468000,1,1,1,0
471600,1,0,1,0
475200,1,1,0,0
478800,1,1,0,1
482400,0,0,0,0
486000,0,0,0,0
489600,0,1,1,0
493200,0,0,0,0
496800,0,0,1,1
500400,1,0,1,0
504000,1,1,0,0
507600,1,1,0,0
511200,0,0,1,0
514800,0,0,0,0
518400,0,0,1,0
522000,0,0,1,0
525600,0,0,1,1
529200,0,0,1,1
532800,1,0,0,0
536400,0,0,1,0
540000,1,0,1,0
543600,1,1,1,0
547200,1,1,1,0
550800,0,1,0,0
554400,0,0,1,0
558000,1,1,1,0
561600,1,0,1,0
565200,0,0,0,1
568800,0,0,0,1
572400,1,1,0,1
576000,1,1,0,0
579600,1,1,0,1
583200,1,1,0,1
586800,1,1,1,0
590400,1,1,1,1
594000,1,1,1,1
597600,1,1,0,1
601200,1,1,0,0
604800,1,1,1,0
608400,1,1,1,0
612000,1,0,0,0
615600,1,0,1,1
619200,1,0,1,1
622800,0,0,1,1
626400,1,0,1,0
630000,0,0,1,0
633600,0,0,0,0
637200,1,0,0,0
640800,1,0,1,0
644400,1,0,0,0
648000,0,0,1,0
651600,0,0,1,1
655200,0,0,1,1
658800,0,0,1,0
662400,0,0,1,0
666000,0,0,0,0
669600,0,0,0,0
673200,0,0,1,1
676800,0,0,1,0
680400,1,0,0,0
684000,1,0,1,1
687600,1,1,1,1
691200,1,1,1,1
694800,1,1,1,1
698400,1,0,0,1
702000,1,1,1,1
705600,1,1,1,1
709200,1,1,0,1
712800,1,0,0,1
716400,1,0,0,0
720000,1,0,1,0
723600,1,1,1,0
727200,0,0,0,0
730800,0,0,0,0
734400,1,1,0,0
738000,1,1,0,0
741600,0,1,0,0
745200,0,1,0,0
748800,0,1,0,0
752400,0,1,1,1
756000,0,1,0,0
759600,0,0,0,1
763200,0,0,0,1
766800,0,0,1,1
770400,1,1,1,1
774000,1,1,0,1
777600,1,1,0,1
781200,0,1,0,0
784800,0,1,0,1
788400,1,0,0,1
792000,1,0,0,1
795600,0,1,0,1
799200,0,1,0,1
802800,0,0,1,1
806400,0,0,0,1
810000,0,0,0,1
813600,1,0,1,1
817200,1,1,1,0
820800,1,1,1,0
824400,1,0,0,0
828000,1,0,0,0
831600,1,0,0,1
835200,1,0,1,1
838800,0,0,1,1
842400,0,0,1,1
846000,1,0,1,1
849600,0,1,1,1
853200,0,1,1,1
856800,0,1,1,1
860400,0,1,0,0
864000,0,0,0,0
867600,1,1,0,1
871200,1,1,1,1
874800,1,0,1,1
878400,1,0,1,0
882000,1,1,1,0
885600,1,1,1,0
889200,1,0,1,0
892800,1,0,1,0
896400,1,1,0,0
900000,0,0,1,1
903600,1,1,1,1
907200,1,1,0,1
910800,0,1,0,1
914400,1,1,0,1
918000,1,1,1,0
921600,1,1,1,0
925200,1,0,1,0
928800,1,0,1,0
932400,1,1,1,1
936000,1,1,1,1
939600,0,0,1,1
943200,1,1,1,0
946800,1,1,1,1
950400,1,0,1,1
954000,1,0,1,0
957600,0,0,1,1
961200,1,0,1,1
964800,1,0,0,1
968400,1,1,1,1
972000,1,1,0,1
975600,0,1,0,1
979200,0,1,0,0
982800,1,1,0,0
986400,1,1,0,0
990000,1,1,1,0
993600,1,1,0,1
997200,1,0,0,1
1000800,0,0,0,1
1004400,0,0,0,0
1008000,0,0,0,0
1011600,1,1,0,1
1015200,1,1,0,1
1018800,1,1,0,1
1022400,0,1,1,0
1026000,1,1,1,1
1029600,1,1,0,1
1033200,1,1,1,1
1036800,1,1,1,1
1040400,0,1,0,1
1044000,0,1,0,1
1047600,1,0,0,1
1051200,1,0,0,1
1054800,1,1,0,0
