Bottles,SetBlue,SetGreen,Add,Blue,Green,Free,Availability,Performance,Quality,OEE,Time,CalcOEE
10,5,5,0,5,4,1,83.6,58.9,90,44.4,06:21.8,44.35
20,10,10,0,10,8,2,83.6,70.5,90,53.1,,53.06
30,15,15,0,15,13,2,83.6,79.8,93.3,62.3,,62.27
40,20,20,0,20,17,3,83.6,80.4,92.5,62.2,,62.15
50,25,25,0,25,20,5,83.6,82.8,90,62.3,,62.31
60,30,30,0,30,26,4,83.6,86.8,93.3,67.7,,67.73
70,35,35,0,35,31,4,83.6,88.1,94.3,69.4,,69.44
80,40,40,0,40,35,5,83.6,87.6,93.8,68.7,,68.67
90,45,45,0,45,40,5,83.6,87.9,94.4,69.4,,69.43
100,50,50,0,51,43,6,83.6,88.2,94,69.3,,69.34
110,55,55,0,56,47,7,83.6,87.2,93.6,68.2,,68.24
10,5,5,1,5,5,1,83.6,64.5,90.9,49,07:06.6,49.01
20,10,10,3,10,10,3,83.6,82.4,87,59.9,11:38.2,59.88
30,15,15,2,15,15,2,83.6,85.6,93.8,67.1,15:34.2,67.14
40,20,20,4,20,20,4,83.6,88.6,90.9,67.4,20:41.2,67.37
50,25,25,5,25,25,5,83.6,91.1,90.9,69.3,25:08.7,69.28
60,30,30,5,30,30,5,83.6,94.1,92.3,72.6,28:47.4,72.61
70,35,35,4,35,35,4,83.6,93.1,94.6,73.6,33:07.9,73.61
80,40,40,6,40,40,6,83.6,94.1,93,73.2,38:04.6,73.2
90,45,45,6,45,45,6,83.6,93.9,93.8,73.6,42:35.6,73.62
100,50,50,8,51,50,7,83.6,94.9,93.5,74.2,47:25.6,74.2
110,55,55,10,56,55,9,83.6,95,92.5,73.5,52:38.9,73.46
10,5,5,0,5,4,1,83.0,58.9,90.0,53.0,06:21.8,44.02
20,10,10,0,10,8,2,83.0,58.9,90.0,53.0,,44.02
30,15,15,0,15,13,2,83.0,60.9,93.3,56.8,,47.17
40,20,20,0,20,17,3,83.0,60.6,92.5,56.0,,46.50
50,25,25,0,25,20,5,83.0,58.9,90.0,53.0,,44.02
60,30,30,0,30,26,4,83.0,60.9,93.3,56.8,,47.17
